WORD,SIZE,CATEGORY,GROUP
CAULIFLOWER,small,VEGETABLES,12
ONION,small,VEGETABLES,12
PICKLE,small,VEGETABLES,12
PANCREAS,small,BODY PARTS,13
TOOTH,small,BODY PARTS,13
TONGUE,small,BODY PARTS,13
RIB,small,BODY PARTS,13
PEAR,small,FRUITS,13
LEMON,small,FRUITS,13
CLEMENTINE,small,FRUITS,13
POMEGRANATE,small,FRUITS,13
MOOSE,large,MAMMALS,13
ANTELOPE,large,MAMMALS,13
MONKEY,large,MAMMALS,13
RACOON,large,MAMMALS,13
FLORIDA,large,STATES,13
MICHIGAN,large,STATES,13
IOWA,large,STATES,13
KANSAS,large,STATES,13
CHICAGO,large,CITIES,14
BERLIN,large,CITIES,14
SYDNEY,large,CITIES,14
RENO,large,CITIES,14
PALM,large,TREES,14
SYCAMORE,large,TREES,14
CEDAR,large,TREES,14
TEAK,large,TREES,14
SWEATER,small,CLOTHING,14
GLOVES,small,CLOTHING,14
BRA,small,CLOTHING,14
TROUSERS,small,CLOTHING,14
MOSQUITO,small,INSECTS,14
MILLIPEDE,small,INSECTS,14
MANTIS,small,INSECTS,14
HORNET,small,INSECTS,14
FURNACE,large,BUILDING RELATED,15
CHIMNEY,large,BUILDING RELATED,15
CLOSET,large,BUILDING RELATED,15
LOBBY,large,BUILDING RELATED,15
BLOUSE,small,CLOTHING,15
JACKET,small,CLOTHING,15
SUIT,small,CLOTHING,15
CAMISOLE,small,CLOTHING,15
GERMANY,large,COUNTRIES,15
CUBA,large,COUNTRIES,15
EGYPT,large,COUNTRIES,15
IRAN,large,COUNTRIES,15
POTATO,small,VEGETABLES,15
SPINACH,small,VEGETABLES,15
GARLIC,small,VEGETABLES,15
ARTICHOKE,small,VEGETABLES,15
BANANA,small,FRUITS,16
MANGO,small,FRUITS,16
NECTARINE,small,FRUITS,16
KUMQUAT,small,FRUITS,16
RULER,small,TOOLS,16
NUTS,small,TOOLS,16
WASHER,small,TOOLS,16
GLUE,small,TOOLS,16
PHILADELPHIA,large,CITIES,16
TOKYO,large,CITIES,16
JERUSALEM,large,CITIES,16
VANCOUVER,large,CITIES,16
CALIFORNIA,large,STATES,16
VERMONT,large,STATES,16
HAWAII,large,STATES,16
WISCONSIN,large,STATES,16
